title,img_src,link,author,publisher,price
여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다. 8(J노블 퍼플(J Novel Purple)),https://bookthumb-phinf.pstatic.net/cover/163/400/16340096.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340096, 야마구치 사토루,서울문화사,"6,300원(-10%)"
유리구두가 깨지면,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338748, 이혜위,동아,"9,900원(-10%)"
위험천만한 연애 1,https://bookthumb-phinf.pstatic.net/cover/163/025/16302509.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16302509, 이지연,테라스북,"12,420원(-10%)"
천재들의 고양이,https://bookthumb-phinf.pstatic.net/cover/163/293/16329340.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329340, 진주현,꿈공장플러스,"11,700원(-10%)"
두 개의 장벽,https://bookthumb-phinf.pstatic.net/cover/163/392/16339232.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339232, 레나테 아렌스,꿈꾸다,"10,800원(-10%)"
위험천만한 연애 2,https://bookthumb-phinf.pstatic.net/cover/163/025/16302510.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16302510, 이지연,테라스북,"12,420원(-10%)"
재령,https://bookthumb-phinf.pstatic.net/cover/163/385/16338546.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338546, 윤보인,나무옆의자,"11,700원(-10%)"
위험천만한 연애 세트,https://bookthumb-phinf.pstatic.net/cover/163/025/16302511.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16302511, 이지연,테라스북,"24,840원(-10%)"
울랄라 가족,https://bookthumb-phinf.pstatic.net/cover/163/295/16329568.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329568, 김상하,창해,"13,500원(-10%)"
노멀 피플,https://bookthumb-phinf.pstatic.net/cover/163/392/16339250.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339250, 샐리 루니,아르테(arte),"12,600원(-10%)"
동물원 옆 미술관,https://bookthumb-phinf.pstatic.net/cover/163/385/16338572.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338572, 송지성,마롱,"8,100원(-10%)"
분리된 기억의 세계,https://bookthumb-phinf.pstatic.net/cover/163/382/16338268.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338268, 고바야시 야스미,하빌리스,"13,050원(-10%)"
베르가모의 페스트 외(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/386/16338641.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338641, 옌스 페테르 야콥센,열린책들,"10,620원(-10%)"
"빌바오, 3월의 눈",https://bookthumb-phinf.pstatic.net/cover/163/392/16339242.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339242, 김경순,문학수첩,"10,800원(-10%)"
농담을 싫어하는 사람들,https://bookthumb-phinf.pstatic.net/cover/163/286/16328698.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16328698, 정지돈 글 윤예지,마음산책,"12,600원(-10%)"
우리는 시벨리우스공화국에서 만난다,https://bookthumb-phinf.pstatic.net/cover/163/383/16338341.jpg?type=m1&udate=Fri Apr 24 02:45:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338341, 박승오,문예바다,"10,800원(-10%)"
