title,img_src,link,author,publisher,price
피프티 피플(티트라 에디션)(한정판),https://bookthumb-phinf.pstatic.net/cover/163/306/16330682.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330682, 정세랑,창비,"16,200원(-35%)"
실격문장의 최강현자 5,https://bookthumb-phinf.pstatic.net/cover/163/385/16338540.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338540, 신코쇼토,영상출판미디어(영상노트),"9,000원(-10%)"
펠리시티: 벽의 꽃이 악마를 만나면 1,https://bookthumb-phinf.pstatic.net/cover/163/382/16338232.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338232, 새라 맥클레인,파피펍,없음
남궁쟁천기 6,https://bookthumb-phinf.pstatic.net/cover/163/387/16338754.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338754, 일황,파피루스(디앤씨미디어),"7,200원(-10%)"
실버로드,https://bookthumb-phinf.pstatic.net/cover/163/253/16325317.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16325317, 스티나 약손,마음서재,"13,050원(-10%)"
시어니 트윌과 거울 마법(시어니 트윌과 마법 시리즈 2),https://bookthumb-phinf.pstatic.net/cover/163/292/16329279.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329279, 찰리 N. 홈버그,이덴슬리벨,"13,950원(-10%)"
일의 기쁨과 슬픔(티트라 에디션)(한정판),https://bookthumb-phinf.pstatic.net/cover/163/306/16330684.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330684, 장류진,창비,"16,200원(-35%)"
문호 스트레이독스 6,https://bookthumb-phinf.pstatic.net/cover/163/385/16338545.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338545, 아사기리 카프카,영상출판미디어(영상노트),"6,300원(-10%)"
펠리시티: 벽의 꽃이 악마를 만나면 2,https://bookthumb-phinf.pstatic.net/cover/163/382/16338233.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338233, 새라 맥클레인,파피펍,없음
나는 헌터가 싫다 10,https://bookthumb-phinf.pstatic.net/cover/163/387/16338756.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338756, 강찬,파피루스(디앤씨미디어),"7,200원(-10%)"
이카루스의 날개(엄상익의 변론 문학 2),https://bookthumb-phinf.pstatic.net/cover/163/386/16338636.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338636, 엄상익,바이블리더스,"14,400원(-10%)"
이 세계에서 너와 두 번째 첫사랑을,https://bookthumb-phinf.pstatic.net/cover/163/273/16327339.jpg?type=m1&udate=Fri Apr 24 02:45:58 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16327339, 모치즈키 쿠라게 저,북스토리,"11,520원(-10%)"
